title,director,actors,country,release_year,rating,duration,year_added,month_added,day_added,genres,budget,color
#Selfie,Cristina Jacob,119,Romania,2014,100,125,2019,6,1,Comedies,209000000,Color
#Selfie 69,Cristina Jacob,107,Romania,2016,30,119,2019,6,1,Comedies,150000000,Color
"¡Ay, mi madre!",Frank Ariza,129,Spain,2019,65,81,2019,7,19,Comedies,200000000,Color
Çarsi Pazar,Muharrem Gülmez,102,Turkey,2015,75,97,2017,3,10,Comedies,200000000,Color
Ég man þig,Óskar Thór Axelsson,114,Iceland,2017,100,106,2018,3,27,Horror,200000000,Color
Çok Filim Hareketler Bunlar,Ozan Açıktan,110,Turkey,2010,100,99,2017,3,10,Comedies,200000000,Color
Òlòtūré,Kenneth Gyang,112,Nigeria,2020,70,107,2020,10,2,Dramas,210000000,Color
Æon Flux,Karyn Kusama,112,United,2005,100,93,2018,2,1,Action,200000000,Color
1 Chance 2 Dance,Adam Deyoe,122,United,2014,100,89,2017,7,1,Dramas,200000000,Color
1 Mile to You,Leif Tilden,124,United,2017,95,105,2017,7,7,Dramas,210000000,Color
10 Days in Sun City,Adze Ugah,130,South,2017,85,87,2019,10,18,Comedies,215000000,Color
10 jours en or,Nicolas Brossette,120,France,2012,40,97,2017,7,1,Comedies,200000000,Color
"10,000 B.C.",Roland Emmerich,113,United,2008,90,109,2019,6,1,Action,170000000,Color
100 Days Of Solitude,,120,Spain,2018,0,93,2018,7,6,Documentaries,200000000,Color
100 Meters,Marcel Barrena,128,Portugal,2016,70,109,2017,3,10,Dramas,200000000,Color
100 Things to do Before High School,,113,United,2014,100,44,2019,11,2,Movies,200000000,Color
100 Years: One Woman's Fight for Justice,Melinda Janko,99,United,2016,90,75,2018,3,20,Documentaries,200000000,Color
100% Halal,Jastis Arimba,132,Indonesia,2020,100,101,2021,1,7,Dramas,190000000,Color
1000 Rupee Note,Shrihari Sathe,105,India,2014,100,89,2016,12,1,Dramas,190000000,Color
12 ROUND GUN,Sam Upton,111,United,2017,20,90,2019,3,14,Dramas,200000000,Color
13 Cameras,Victor Zarcoff,122,United,2015,90,90,2016,8,13,Horror,190000000,Color
13 Sins,Daniel Stamm,116,United,2014,90,93,2019,1,13,Horror,195000000,Color
13TH,Ava DuVernay,122,United,2016,70,101,2016,10,7,Documentaries,105000000,Color
13TH: A Conversation with Oprah Winfrey & Ava DuVernay,,124,,2017,100,37,2017,1,26,Movies,200000000,Color
14 Blades,Daniel Lee,116,Hong,2010,100,113,2019,4,3,Action,190000000,Color
14 Cameras,"Scott Hussion, Seth Fuller",121,United,2018,100,89,2018,10,27,Horror,195000000,Color
14 Minutes from Earth,"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",125,United,2016,70,84,2019,2,1,Documentaries,185000000,Color
16 Blocks,Richard Donner,124,United,2006,75,102,2019,11,1,Action,185000000,Color
17 Again,Burr Steers,127,United,2009,80,102,2021,1,1,Comedies,185000000,Color
18 Presents,Francesco Amato,99,Italy,2020,75,114,2020,5,8,Dramas,185000000,Color
1898: Our Last Men in the Philippines,Salvador Calvo,110,Spain,2016,70,130,2017,6,2,Dramas,180000000,Color
1BR,David Marmor,112,United,2019,60,90,2020,8,23,Horror,140000000,Color
1st Summoning,Raymond Wood,124,United,2018,0,94,2019,7,26,Horror,200000000,Color
2 Alone in Paris,"Ramzy Bedia, Éric Judor",125,France,2008,30,97,2020,6,1,Comedies,200000000,Color
2 States,Abhishek Varman,109,India,2014,80,143,2018,8,4,Comedies,176000000,Color
20 Feet From Stardom,Morgan Neville,105,United,2013,100,91,2018,9,22,Documentaries,180000000,Color
2015 Dream Concert,,103,South,2015,75,107,2017,4,28,International,180000000,Color
2036 Origin Unknown,Hasraf Dulull,113,United,2018,75,95,2018,12,20,Sci-Fi,178000000,Color
20th Century Women,Mike Mills,130,United,2016,90,119,2019,6,28,Dramas,185000000,Color
21 & Over,"Jon Lucas, Scott Moore",132,United,2013,75,93,2019,4,16,Comedies,175000000,Color
2307: Winter's Dream,Joey Curtis,114,United,2016,100,101,2018,3,1,Action,175000000,Color
24 Hours to Live,Brian Smrz,133,South,2017,70,93,2018,4,7,Action,140000000,Color
25 Kille,Simranjit Singh Hundal,122,India,2016,60,140,2018,10,1,Action,170000000,Color
26 Years,Geun-hyun Cho,123,South,2012,75,135,2017,10,1,Dramas,170000000,Color
"27, el club de los malditos",Nicanor Loreti,119,Argentina,2018,90,82,2018,5,1,Action,145000000,Color
27: Gone Too Soon,Simon Napier-Bell,100,United,2017,70,70,2018,5,1,Documentaries,175000000,Color
28 Days,Betty Thomas,103,United,2000,60,104,2020,9,30,Comedies,175000000,Color
3 Days to Kill,McG,133,United,2014,100,117,2020,12,1,Action,178000000,Color
3 Deewarein,Nagesh Kukunoor,133,,2003,95,121,2019,12,31,Dramas,175000000,Color
3 Generations,Gaby Dellal,116,United,2015,75,92,2017,8,28,Dramas,175000000,Color
3 Heroines,Iman Brotoseno,111,Indonesia,2016,85,124,2019,1,5,Dramas,175000000,Color
3 Idiots,Rajkumar Hirani,122,India,2009,80,164,2019,8,1,Comedies,175000000,Color
3 Seconds Divorce,Shazia Javed,122,Canada,2018,100,53,2019,6,15,Documentaries,200000000,Color
3 Türken & ein Baby,Sinan Akkuş,124,Germany,2015,100,93,2016,12,15,Comedies,170000000,Color
30 Days of Luxury,Hani Hamdi,122,Egypt,2016,80,91,2019,4,18,Comedies,180000000,Color
30 Minutes or Less,Ruben Fleischer,22,United,2011,95,83,2021,1,1,Action,170000000,Color
300 Miles to Heaven,Maciej Dejczer,38,Denmark,1989,85,93,2019,10,1,Dramas,170000000,Color
365 Days,"Barbara Białowąs, Tomasz Mandes",13,Poland,2020,40,114,2020,6,7,Dramas,175000000,Color
37 Seconds,Hikari,28,Japan,2020,70,116,2020,1,31,Dramas,170000000,Color
40 Sticks,Victor Gatonye,45,Kenya,2019,75,93,2020,11,20,International,165000000,Color
42 Grams,Jack C. Newell,52,United,2017,70,81,2018,2,1,Documentaries,190000000,Color
48 Christmas Wishes,"Marco Deufemia, Justin G. Dyck",11,Canada,2017,80,84,2017,12,20,Children,165000000,Color
4L,Gerardo Olivares,17,Spain,2019,75,105,2019,7,12,Comedies,165000000,Color
4th Man Out,Andrew Nackman,32,United,2015,40,86,2016,5,5,Comedies,165000000,Color
4th Republic,Ishaya Bako,48,Nigeria,2019,65,120,2020,6,13,Dramas,165000000,Color
5 Cowok Jagoan,Anggy Umbara,12,,2017,100,106,2019,1,5,Action,165000000,Color
5 Flights Up,Richard Loncraine,49,United,2014,90,92,2019,3,17,Comedies,200000000,Color
5 Star Christmas,Marco Risi,44,Italy,2018,100,96,2018,12,7,Comedies,170000000,Color
5 to 7,Victor Levin,51,United,2014,70,97,2017,3,16,Comedies,165000000,Color
50 First Dates,Peter Segal,21,United,2004,70,99,2020,12,1,Comedies,160000000,Color
50/50,Jonathan Levine,47,United,2011,85,100,2019,6,1,Comedies,160000000,Color
5CM,Rizal Mantovani,26,Indonesia,2012,100,126,2018,9,28,Dramas,180000000,Color
5Gang,Matei Dima,15,Romania,2019,65,96,2020,4,27,Comedies,38000000,Color
6 Balloons,Marja Lewis Ryan,53,United,2018,90,75,2018,4,6,Dramas,150000000,Color
6 Days,Toa Fraser,49,New,2017,100,94,2018,2,8,Action,160000000,Color
6 Underground,Michael Bay,45,United,2019,100,129,2019,12,13,Action,160000000,Color
6 Years,Hannah Fidell,54,United,2015,80,80,2015,9,8,Dramas,150000000,Color
6-5=2,Bharat Jain,26,India,2014,100,103,2017,11,1,Horror,160000000,Color
68 Kill,Trent Haaga,44,United,2017,60,96,2019,9,1,Comedies,170000000,Color
7 años,Roger Gual,31,Spain,2016,85,77,2016,10,27,Dramas,160000000,Color
7 Din Mohabbat In,"Meenu Gaur, Farjad Nabi",55,Pakistan,2018,75,137,2019,5,15,Comedies,160000000,Color
7 Khoon Maaf,Vishal Bhardwaj,54,India,2011,70,148,2018,8,2,Dramas,155000000,Color
90 ML,Anita Udeep,48,India,2019,70,123,2019,8,13,Comedies,155000000,Color
93 Days,Steve Gukas,23,Nigeria,2016,85,121,2020,3,5,Dramas,140000000, Black and White
A 2nd Chance,Clay Glen,13,Australia,2011,75,95,2017,7,1,Children,150000000,Color
A 3 Minute Hug,Everardo González,55,Mexico,2019,70,28,2019,10,28,Documentaries,155000000,Color
A Babysitter's Guide to Monster Hunting,Rachel Talalay,50,United,2020,75,99,2020,10,15,Children,150000000,Color
A Bad Moms Christmas,"Jon Lucas, Scott Moore",53,United,2017,100,104,2020,2,14,Comedies,150000000,Color
A Beautiful Life,Andrew Lau Wai-Keung,21,China,2011,80,122,2018,12,1,Dramas,150000000,Color
A Billion Colour Story,Padmakumar Narasimhamurthy,39,India,2016,100,104,2018,4,1,Dramas,150000000,Color
A Boy Called Po,John Asher,59,United,2016,50,94,2018,1,15,Dramas,150000000,Color
A Bridge Too Far,Richard Attenborough,24,United,1977,100,176,2020,7,1,Action,150000000,Color
A California Christmas,Shaun Paul Piccinino,17,United,2020,75,107,2020,12,14,Comedies,150000000,Color
A Champion Heart,David de Vos,10,United,2018,70,90,2020,4,14,Children,150000000,Color
A Chaster Marriage,Umut Kirca,55,Turkey,2016,65,94,2020,10,2,Comedies,150000000,Color
A Choo,"Kevin Ko, Peter Tsi",37,Taiwan,2020,100,101,2020,10,14,Action,150000000,Color
A Christmas Catch,,37,Canada,2018,75,87,2020,11,4,Dramas,150000000,Color
A Christmas Prince,Alex Zamm,41,United,2017,100,92,2017,11,17,Children,150000000,Color
A Christmas Prince: The Royal Baby,John Schultz,33,United,2019,90,85,2019,12,5,Children,150000000,Color
A Christmas Prince: The Royal Wedding,John Schultz,51,United,2018,75,93,2018,11,30,Children,170000000,Color
A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,Thomas Astruc,42,France,2016,85,22,2016,12,20,Movies,150000000,Color
A Cinderella Story,Mark Rosman,39,United,2004,100,95,2020,1,1,Children,150000000,Color
A Cinderella Story: Christmas Wish,Michelle Johnston,14,United,2019,100,86,2019,12,1,Children,150000000,Color
A Clockwork Orange,Stanley Kubrick,12,United,1971,50,137,2020,11,1,Classic,150000000,Color
A Dangerous Woman,Stephen Gyllenhaal,31,United,1993,65,101,2018,4,1,Dramas,150000000,Color
A Fairly Odd Summer,Savage Steve Holland,15,United,2014,75,68,2019,11,2,Children,150000000,Color
A Fall from Grace,Tyler Perry,48,United,2020,75,121,2020,1,17,Dramas,100000000,Color
A Family Affair,Tom Fassaert,12,Netherlands,2015,70,111,2016,10,16,Documentaries,150000000,Color
A Family Man,Mark Williams,22,Canada,2016,75,110,2019,12,15,Dramas,150000000,Color
A Family Reunion Christmas,Robbie Countryman,29,United,2019,90,29,2019,12,9,Movies,180000000,Color
A Flying Jatt,Remo D'Souza,24,India,2016,5,142,2017,11,15,Action,150000000,Color
A Fortunate Man,Bille August,47,Denmark,2018,80,168,2019,4,20,Dramas,150000000,Color
A Futile and Stupid Gesture,David Wain,30,United,2018,100,102,2018,1,26,Comedies,150000000,Color
A Ghost Story,David Lowery,17,United,2017,95,92,2020,1,7,Dramas,150000000,Color
A Glimpse Inside the Mind of Charles Swan III,Roman Coppola,51,United,2012,75,86,2018,7,15,Comedies,150000000,Color
A Go! Go! Cory Carson Christmas,"Stanley Moore, Alex Woo",49,United,2020,100,22,2020,11,27,Children,150000000,Color
A Go! Go! Cory Carson Halloween,"Alex Woo, Stanley Moore",13,,2020,100,22,2020,10,2,Children,149000000,Color
A Go! Go! Cory Carson Summer Camp,"Stanley Moore, Alex Woo",37,,2020,80,21,2020,8,4,Children,150000000,Color
A Grand Night In: The Story of Aardman,Richard Mears,17,United,2015,80,59,2016,11,1,Documentaries,145000000,Color
A Gray State,Erik Nelson,26,United,2017,65,93,2017,12,25,Documentaries,175000000,Color
A Haunted House,Michael Tiddes,31,United,2013,85,86,2020,2,21,Comedies,145000000,Color
A Haunting at Silver Falls: The Return,Teo Konuralp,46,United,2019,75,80,2019,9,17,Horror,142000000, Black and White
A Heavy Heart,Thomas Stuber,59,Germany,2015,60,109,2017,2,15,Dramas,144000000,Color
A Holiday Engagement,Jim Fall,49,United,2011,100,92,2019,11,4,Children,140000000,Color
A Home with A View,Herman Yau,59,Hong,2019,100,92,2019,4,30,Comedies,140000000,Color
A Kid from Coney Island,"Coodie, Chike",53,United,2019,80,89,2020,7,6,Documentaries,150000000,Color
A Kind of Murder,Andy Goddard,12,United,2016,85,96,2017,5,1,Thrillers,145000000,Color
A Land Imagined,Yeo Siew Hua,59,France,2019,80,95,2019,4,13,Dramas,145000000,Color
A Leaf of Faith,Chris Bell,51,United,2018,95,87,2018,8,27,Documentaries,145000000,Color
A Life of Speed: The Juan Manuel Fangio Story,Francisco Macri,43,Argentina,2020,85,93,2020,3,20,Documentaries,100000000,Color
A Little Chaos,Alan Rickman,22,United,2014,10,113,2019,4,17,Dramas,140000000,Color
A Love Song for Latasha,Sophia Nahli Allison,44,United,2020,90,20,2020,9,21,Documentaries,140000000,Color
A Love Story,Maryo J. De los Reyes,18,Philippines,2007,100,117,2019,3,14,Dramas,150000000,Color
A Mighty Team,Thomas Sorriaux,51,France,2016,100,97,2016,10,15,Comedies,139000000,Color
A Mission in an Old Movie,Ahmad El-Badri,33,,2012,90,98,2019,4,25,Comedies,145000000,Color
A Monster Calls,J.A. Bayona,38,United,2016,90,108,2021,1,16,Dramas,140000000,Color
A Most Violent Year,J.C. Chandor,26,United,2014,80,125,2018,7,22,Dramas,135000000,Color
A Murder in the Park,"Christopher S. Rech, Brandon Kimber",59,United,2014,70,91,2017,4,28,Documentaries,130000000,Color
A new Capitalism,,18,Brazil,2017,90,76,2018,6,12,Documentaries,140000000,Color
A New York Christmas Wedding,Otoja Abit,43,United,2020,85,90,2020,11,5,Dramas,137000000,Color
A Night at the Roxbury,John Fortenberry,35,United,1998,75,82,2019,12,1,Comedies,130000000,Color
A Noble Intention,Joram Lürsen,21,Netherlands,2015,80,111,2016,9,1,Dramas,130000000,Color
A Patch of Fog,Michael Lennox,14,United,2015,100,92,2017,4,15,Dramas,137000000,Color
A Perfect Ending,Nicole Conn,23,United,2012,80,110,2019,1,1,Dramas,140000000,Color
A Perfect Man,Kees Van Oostrum,11,United,2013,80,94,2019,6,6,Dramas,135000000,Color
A Plastic Ocean,,17,United,2016,80,100,2019,10,4,Documentaries,150000000,Color
A Princess for Christmas,Michael Damian,55,United,2011,100,91,2020,8,28,Children,120000000,Color
A Remarkable Tale,Marina Seresesky,48,Spain,2019,40,94,2019,11,1,Comedies,135000000,Color
A Russell Peters Christmas,Henry Sarwer-Foner,55,Canada,2011,80,44,2013,11,1,Stand-Up,150000000,Color
A Scandall,Ishaan Trivedi,33,India,2016,100,108,2017,10,15,International,1500000,Color
A Second Chance,Cathy Garcia-Molina,25,Philippines,2015,80,130,2019,2,27,Dramas,140000000,Color
A Secret Love,Chris Bolan,47,United,2020,80,83,2020,4,29,Documentaries,135000000,Color
A Separation,Asghar Farhadi,55,Iran,2011,100,123,2019,3,16,Dramas,135000000,Color
A Serious Man,"Ethan Coen, Joel Coen",55,United,2009,20,106,2018,1,16,Comedies,135000000,Color
A Shaun the Sheep Movie: Farmageddon,"Richard Phelan, Will Becher",39,United,2020,80,87,2020,2,14,Children,132000000,Color
A Silent Voice,Naoko Yamada,53,Japan,2016,80,130,2019,6,5,Anime,110000000,Color
A Single Man,Tom Ford,44,United,2009,60,100,2019,11,11,Dramas,130000000,Color
A Sort of Family,Diego Lerman,51,Argentina,2017,60,96,2018,4,1,Dramas,130000000,Color
A Sort of Homecoming,Maria Burton,56,United,2015,60,89,2017,8,1,Dramas,130000000,Color
A Stoning in Fulham County,Larry Elikann,53,United,1988,20,95,2011,10,1,Dramas,120000000,Color
A StoryBots Christmas,"Evan Spiridellis, Jeff Gill",23,United,2017,100,26,2017,12,1,Children,135000000,Color
A Sun,Chung Mong-hong,44,Taiwan,2019,80,156,2020,1,24,Dramas,132000000,Color
A Tale of Love and Darkness,Natalie Portman,55,Israel,2015,80,98,2019,10,25,Dramas,130000000,Color
A Tale of Two Kitchens,Trisha Ziff,41,United,2019,80,30,2019,5,22,Documentaries,130000000,Color
A Thin Line Between Love & Hate,Martin Lawrence,39,United,1996,80,108,2020,12,1,Comedies,110000000,Color
A Thousand Words,Brian Robbins,21,United,2012,80,92,2020,7,1,Comedies,125000000,Color
A Trash Truck Christmas,Eddie Rosas,15,,2020,60,28,2020,12,11,Children,135000000,Color
A Trip to Jamaica,Robert O. Peters,15,Nigeria,2016,100,99,2019,12,13,Comedies,130000000,Color
A truthful Mother,Ravishankar Venkateswaran,53,India,2020,80,85,2020,3,31,Children,130000000,Color
A Twelve Year Night,Álvaro Brechner,57,Uruguay,2018,80,122,2018,12,28,Dramas,130000000,Color
A Very Country Christmas,Justin G. Dyck,10,United,2017,80,84,2020,11,15,Music,127500000,Color
A Very Murray Christmas,Sofia Coppola,54,United,2015,80,57,2015,12,4,Comedies,127500000,Color
A Very Special Love,Cathy Garcia-Molina,38,Philippines,2008,100,107,2020,11,12,International,127500000,Color
A Walk to Remember,Adam Shankman,22,United,2002,60,102,2020,7,1,Dramas,127500000,Color
A Wednesday,Neeraj Pandey,50,India,2008,80,103,2018,11,1,Action,127500000,Color
A Week in Watts,Gregory Caruso,18,United,2017,80,91,2018,2,19,Documentaries,127500000,Color
A Whisker Away,"Junichi Sato, Tomotaka Shibayama",56,Japan,2020,80,104,2020,6,18,Anime,127500000,Color
A Witches' Ball,Justin G. Dyck,35,Canada,2017,100,91,2018,10,1,Children,127500000,Color
A Wrinkle in Time,Ava DuVernay,13,United,2018,100,110,2018,9,25,Children,127500000,Color
A Yellow Bird,K. Rajagopal,59,Singapore,2016,100,111,2017,5,1,Dramas,125000000,Color
A.M.I.,Rusty Nixon,25,Canada,2019,80,77,2020,10,1,Horror,125000000,Color
A.X.L.,Oliver Daly,34,United,2018,100,99,2019,3,20,Action,103000000,Color
Aşk Tesadüfleri Sever,Ömer Faruk Sorak,44,Turkey,2011,60,122,2018,4,4,Dramas,110000000,Color
Aadu 2,Midhun Manuel Thomas,51,India,2017,80,150,2018,5,15,Comedies,125000000,Color
Aagey Se Right,Indrajit Nattoji,48,India,2009,70,117,2018,11,1,Comedies,125000000,Color
Aajcha Divas Majha,Chandrakant Kulkarni,18,India,2013,100,126,2018,1,1,Comedies,125000000,Color
Aakhri Adaalat,Rajiv Mehra,35,India,1988,76,148,2017,9,1,Action,65000000,Color
Aalorukkam,V C Abhilash,55,India,2018,80,122,2018,11,15,Dramas,85000000,Color
Aamir,Raj Kumar Gupta,42,India,2008,80,95,2018,11,1,International,125000000,Color
Aapla Manus,Satish Rajwade,36,India,2018,80,133,2020,9,10,Dramas,125000000,Color
Aarakshan,Prakash Jha,58,India,2011,80,164,2019,12,31,Dramas,123000000,Color
Aashayein,Nagesh Kukunoor,39,India,2010,80,115,2017,10,22,Dramas,125000000,Color
Aashik Awara,Umesh Mehra,42,India,1993,80,154,2017,6,1,Dramas,125000000,Color
Aata Pita,Uttung Shelar,54,India,2010,100,133,2018,1,1,Comedies,140000000,Color
Aaviri,Ravi Babu,55,India,2019,60,110,2019,12,31,Horror,130000000,Color
Abby Sen,Atanu Ghosh,49,India,2015,60,127,2017,5,1,Comedies,120000000,Color
ABCD 2,Remo D'Souza,42,India,2015,80,146,2018,11,1,Dramas,110000000,Color
ABCD: Any Body Can Dance,Remo D'Souza,14,India,2013,60,136,2018,11,1,Dramas,120000000,Color
Abdo Mota,,47,Egypt,2012,80,100,2019,4,19,Action,120000000,Color
Abducted in Plain Sight,Skye Borgman,43,United,2017,60,90,2019,1,15,Documentaries,130000000,Color
"Abdullah, The Final Witness",Hashim Nadeem Khan,32,Pakistan,2016,60,88,2019,1,15,Dramas,120000000,Color
Abhinetri,A. L. Vijay,32,India,2016,80,131,2018,5,1,Comedies,115000000,Color
Abominable Christmas,Chad Van De Keere,28,United,2012,100,44,2016,2,18,Children,105000000,Color
About a Boy,"Chris Weitz, Paul Weitz",39,United,2002,100,101,2019,2,1,Comedies,100000000,Color
About Time,Richard Curtis,30,United,2013,80,123,2019,4,16,Comedies,120000000,Color
Abzurdah,Daniela Goggi,48,Argentina,2015,0,90,2016,8,25,Dramas,120000000,Color
Acapulco La vida va,Alfonso Serrano Maturino,43,Mexico,2016,80,89,2017,6,3,Comedies,117000000,Color
Accident,Cheang Pou Soi,42,Hong,2009,60,87,2018,12,1,International,120000000,Color
Across Grace Alley,Ralph Macchio,18,United,2013,100,24,2016,12,1,Dramas,113000000,Color
Across The Line,Julien Christian Lutz,20,Canada,2015,100,88,2019,4,1,Dramas,115000000,Color
Across the Universe,Julie Taymor,54,United,2007,80,133,2019,1,1,Dramas,115000000,Color
Act of Valor,"Mike McCoy, Scott Waugh",54,United,2012,80,110,2020,6,1,Action,120000000,Color
Act of Vengeance,Mahsun Kırmızıgül,45,Turkey,2010,100,112,2018,9,29,Action,115000000,Color
Action Replayy,Vipul Amrutlal Shah,52,India,2010,100,129,2020,5,11,Children,135000000,Color
Acts of Vengeance,Isaac Florentine,52,Bulgaria,2017,60,87,2018,1,25,Action,78000000,Color
Acts of Violence,Brett Donowho,33,Canada,2018,60,87,2020,8,1,Action,115000000,Color
Adú,Salvador Calvo,13,Spain,2020,80,120,2020,7,1,Dramas,115000000,Color
Adam Devine: Best Time of Our Lives,Jay Karas,34,United,2019,80,59,2019,6,18,Stand-Up,125000000,Color
ADAM SANDLER 100% FRESH,Steve Brill,18,United,2018,100,74,2018,10,23,Stand-Up,100000000,Color
Adam: His Song Continues,Robert Markowitz,14,United,1986,80,96,2011,10,1,Dramas,116000000,Color
Addicted to Life,Thierry Donard,22,France,2014,80,91,2020,6,12,Action,135000000,Color
Adel Karam: Live from Beirut,,22,United,2018,100,59,2018,3,1,Stand-Up,120000000,Color
Adhugo,,34,India,2018,40,105,2019,1,15,Comedies,110000000,Color
Aditi Mittal: Things They Wouldn't Let Me Say,Fazila Allana,11,India,2017,80,63,2017,7,18,Stand-Up,110000000,Color
Adore,Anne Fontaine,47,Australia,2013,60,111,2019,11,20,Dramas,110000000,Color
Adrift,Baltasar Kormákur,13,Hong,2018,20,96,2020,9,1,Action,110000000,Color
Adrishya,Sandeep Chatterjee,53,India,2017,80,99,2019,12,31,Horror,110000000,Color
Advantageous,Jennifer Phang,10,United,2015,100,92,2015,6,23,Dramas,120000000,Color
Adventures in Public School,Kyle Rideout,43,Canada,2018,80,86,2018,8,15,Comedies,110000000,Color
Aerials,S.A. Zaidi,53,United,2016,100,90,2020,5,7,International,110000000, Black and White
Afonso Padilha: Classless,"Junior Carelli, Rudge Campos",25,Brazil,2020,86,63,2020,9,3,Stand-Up,112000000,Color
After,Jenny Gage,20,United,2019,100,106,2019,10,9,Dramas,120000000,Color
After Maria,Nadia Hallgren,50,United,2019,80,38,2019,5,24,Documentaries,,Color
After Porn Ends,Bryce Wagoner,52,United,2012,100,93,2019,5,27,Documentaries,110000000,Color
After Porn Ends 3,Brittany Andrews,47,United,2018,80,87,2018,12,30,Documentaries,110000000,Color
After the Raid,Rodrigo Reyes,44,United,2019,80,25,2019,12,19,Documentaries,110000000,Color
After We Collided,Roger Kumble,31,United,2020,80,105,2020,12,22,Dramas,110000000,Color
Aftermath,Elliott Lester,24,United,2017,100,94,2020,3,15,Dramas,110000000,Color
Afterschool,Antonio Campos,37,United,2008,100,107,2020,8,13,Dramas,105000000,Color
Aftershock,Nicolás López,44,United,2012,80,89,2018,3,7,Action,160000000,Color
Agatha and the Truth of Murder,Terry Loane,48,United,2018,80,92,2019,1,31,Dramas,110000000,Color
Aggretsuko: We Wish You a Metal Christmas,Rarecho,25,Japan,2018,80,22,2018,12,20,Movies,110000000,Color
Agneepath,Mukul Anand,23,India,1990,80,174,2020,4,1,Dramas,93000000,Color
Agustín Aristarán: Soy Rada,Mariano Baez,17,Argentina,2018,100,60,2018,2,16,Stand-Up,110000000,Color
Agyaat,Ram Gopal Varma,18,India,2009,80,97,2018,10,1,Horror,107000000, Black and White
Ahista Ahista,Shivam Nair,49,India,2006,100,122,2019,12,31,Dramas,109000000,Color
Ai Weiwei: Never Sorry,Alison Klayman,27,United,2012,80,91,2018,3,1,Documentaries,120000000,Color
Ainu Mosir,Takeshi Fukunaga,45,United,2020,80,84,2020,11,17,Dramas,130000000,Color
Airplane Mode,César Rodrigues,52,United,2020,60,97,2020,1,23,Comedies,133000000,Color
Aisa Yeh Jahaan,Biswajeet Bora,11,India,2015,80,127,2017,10,15,Dramas,105000000,Color
Aitraaz,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",13,India,2004,80,153,2018,3,1,International,108000000,Color
Aiyaary,Neeraj Pandey,52,India,2018,80,158,2018,5,15,Action,108000000,Color
Aiyyaa,Sachin Kundalkar,38,India,2012,100,151,2020,7,5,Comedies,126000000,Color
Ajab Prem Ki Ghazab Kahani,Rajkumar Santoshi,22,India,2009,100,150,2020,10,25,Comedies,90000000,Color
Ajji,Devashish Makhija,36,India,2017,100,105,2018,5,1,Dramas,90000000,Color
